AreaCode,Height,Siblings,Handedness,Apps,AgeInMonths,LastMovie,Major,Class
254,165.1,5,Right-handed,25,,Wicked,Accounting,First-year
737,157,1,Right-handed,41,241,Wicked,Biology,Sophomore
469,180,0,Right-handed,22,230,Wicked,Biochemistry and Molecular Biology,First-year
915,162.56,1,Right-handed,73,241,Dune 2 ,Biology,Junior
210,163,2,Right-handed,97,258,Sonic 3,Biology,Senior
210,165.1,2,Right-handed,12,228,Sonic the hedgehog 3,Biology,Sophomore
732,173,1,Right-handed,100,227,A Complete Unknown ,Biochemistry and Molecular Biology,First-year
469,193,1,Right-handed,85,208,Inside Out 2,Biochemistry,First-year
281,170.69,1,Right-handed,68,232,Insidious 4 ,Undecided,Sophomore
972,172.72,1,Right-handed,72,216,Nosferatu,Biochemistry,First-year
281,167.64,1,Right-handed,129,225,Mufasa: The Lion King,Biology,First-year
847,176,1,Right-handed,120,244,terrifier 2,Business Analytics and Technology,Sophomore
469,183,2,Right-handed,90,217,Moana 2,Biology,First-year
512,157.48,0,Right-handed,75,228,Barbie,Biology,Sophomore
713,148.59,1,Right-handed,43,229,Sonic 3,Biology,First-year
830,188,3,Right-handed,42,235,Wicked,Accounting,Sophomore
832,180,3,Right-handed,132,224,Sonic 3,Biology,First-year
713,188,4,Left-handed,110,231,Barbie,Biology,First-year
512,182.88,2,Left-handed,70,224,Wicked,Geosciences,First-year
346,175,1,Left-handed,166,243,Furiosa: A Mad Max Saga,Undecided,Sophomore
806,185,1,Left-handed,150,245,Nosferatu,Neuroscience,Sophomore
972,180,1,Right-handed,131,230,Twisters,Biochemistry and Molecular Biology,First-year
832,180,1,Right-handed,60,228,Oppenheimer,Computer Science,First-year
614,177.8,1,Right-handed,109,229,The Color Purple (2023),Biology,Sophomore
832,167,1,Left-handed,102,245,Red One,Biology,Junior
830,175,3,Right-handed,50,238,,Biology,Sophomore
214,177.8,1,Right-handed,70,222,A Complete Unknown,Biochemistry and Molecular Biology,First-year
832,165,1,Right-handed,85,256,Mufasa,Biology,Junior
210,175,1,Right-handed,30,252,Gladiator 2,Business Analytics and Technology,Senior
832,157.48,1,Left-handed,95,246,Nosferatu ,Geosciences,Junior
512,168,1,Left-handed,145,255,Deadpool & Wolverine,Geosciences,Junior
206,65,1,Right-handed,56,245,Wicked,Biochemistry,Sophomore
402,166,1,Right-handed,69,240,Wicked,Biochemistry and Molecular Biology,Sophomore
469,185.42,1,Left-handed,106,249,Barbie,Biochemistry and Molecular Biology,Junior
972,178,1,Right-handed,100,248,Twisters,Geosciences,Junior
210,187.96,0,Right-handed,75,229,Sonic the Hedgehog 3,Biochemistry,First-year
972,157.48,0,Right-handed,145,232.5,Mufasa,Biochemistry and Molecular Biology,Sophomore
314,177.8,0,Right-handed,100,232,We Live in Time,Biochemistry,First-year
281,170.18,1,Right-handed,154,241,Wicked ,Environmental Studies,Sophomore
714,170.18,1,Right-handed,92,243,Gladiator II,Biology,Junior
512,178,1,Right-handed,102,235,The Boy and the Heron,Biology,Sophomore
940,185,1,Right-handed,272,236,Sonic 3,Biology,Sophomore
,180.34,2,Left-handed,73,228,Nosferatu,Biology,Sophomore
346,180.34,1,Right-handed,,235,Sonic 3,Biochemistry and Molecular Biology,Sophomore
346,157.48,2,Left-handed,132,242,The Boy and the Heron,Biology,Sophomore
817,180,0,Right-handed,145,245,Minions,Biochemistry and Molecular Biology,Sophomore
210,185,1,Right-handed,45,234,wonka,Biology,First-year
346,157.48,2,Right-handed,55,236,Smile 2,Biochemistry and Molecular Biology,Sophomore
512,170.2,2,Right-handed,117,246,Wicked,Geosciences,Junior
,158,2,Right-handed,105,233,Wicked,Biology,Sophomore
210,167,2,Right-handed,80,241,Five Nights at Freddy's,Biology,Sophomore
832,160.02,1,Right-handed,86,234,Fall Guy,Biology,Sophomore
830,185,1,Ambidextrous,180,255,Interstellar,Computer Science,Senior
