"release_speed","release_spin_rate","p_throws"
92.4,2420,"R"
92.5,2383,"R"
92.1,2320,"R"
99.7,2476,"R"
91,2373,"R"
94.8,2152,"R"
96,1996,"R"
93.1,2263,"R"
96.2,2240,"R"
92.1,2153,"R"
94.2,2534,"R"
95.8,2907,"R"
94.1,2412,"R"
93.4,2241,"R"
98,2410,"R"
92.4,2419,"R"
94.7,2106,"R"
93.4,2329,"R"
95.2,2266,"R"
96.6,2326,"R"
91.6,2067,"R"
92.9,2249,"R"
91.1,1977,"R"
90.6,3049,"R"
92.4,2412,"R"
95.1,2306,"R"
97,2344,"R"
96.7,2070,"R"
90.2,2159,"R"
91.4,2631,"R"
96.2,2321,"L"
93.7,2077,"L"
95.5,2415,"L"
89.9,2166,"L"
91.9,2443,"L"
88.5,2244,"L"
91.3,1995,"L"
90.9,2295,"L"
97.3,2593,"L"
96.5,2246,"L"
94.3,2287,"L"
92.6,2160,"L"
96.1,2653,"L"
94.8,2377,"L"
90.9,2997,"L"
93.9,2365,"L"
88.3,2358,"L"
95.1,2154,"L"
93.9,2417,"L"
91.9,2409,"L"
92.1,2034,"L"
93,2260,"L"
96.8,2304,"L"
95.7,2406,"L"
91.9,2607,"L"
96.6,2376,"L"
