"Series","Contestant","PPT","Prize","Subjective","Objective","Fastest","Live","Team","Highest","Lowest","Gender","Greg.Harshness","Age","GregsAge","Seat","Height","Children","Winner"
2,"Katherine Ryan",3.36,3.4,3.42,3.31,2.43,5,2,30,13,"F",0.97,38.43,48,4,168,1,"Y"
2,"Jon Richardson",3.21,2.8,2.83,3.5,3.43,3,3,25,13,"M",0.97,38.43,48,3,173,1,"N"
2,"Richard Osman",3.07,2.2,3,3.13,4.57,3.4,3,27,5,"M",0.97,38.43,48,5,200,2,"N"
2,"Doc Brown",2.79,3.4,2.92,2.69,1.29,4.2,2,21,9,"M",0.97,38.43,48,1,170,2,"N"
2,"Joe Wilkinson",2.46,3.4,2.92,2.13,1.43,2.4,2,25,8,"M",0.97,38.43,48,2,180.5,0,"N"
4,"Noel Fielding",3.2,3.75,3.95,2.57,3,2.13,1.25,23,12,"M",0.97,40.69,48,5,176,0,"Y"
4,"Joe Lycett",3.02,3,3.32,2.78,3,2.88,1.25,20,13,"M",0.97,40.69,48,2,184,0,"N"
4,"Mel Giedroyc",2.98,2.25,2.93,3.02,2.13,3.38,3.75,24,3,"F",0.97,40.69,48,4,166,2,"N"
4,"Hugh Dennis",2.87,1.63,2.29,3.35,3.25,2.88,3.75,21,13,"M",0.97,40.69,48,1,185,2,"N"
4,"Lolly Adefope",2.78,4.25,2.78,2.78,3.5,2.25,1.25,20,12,"F",0.97,40.69,48,3,163,0,"N"
6,"Liza Tarbuck",3.23,2.9,3.57,2.95,2.5,2.3,3.83,25,10,"F",0.99,40.99,49,3,172,0,"Y"
6,"Tim Vine",3.13,3.8,3.45,2.85,4,2.3,3.83,26,11,"M",0.99,40.99,49,5,188,0,"N"
6,"Russell Howard",3.04,3,2.75,3.28,4,2.7,3.33,24,12,"M",0.99,40.99,49,4,172,0,"N"
6,"Asim Chaudhry",2.84,2.3,2.59,3.05,4.5,2.6,3.83,22,8,"M",0.99,40.99,49,2,171,0,"N"
6,"Alice Levine",2.71,2.4,2.59,2.82,1.5,2.7,3.33,23,6,"F",0.99,40.99,49,1,170.2,0,"N"
11,"Sarah Kendall",3.16,3,3.22,3.11,3.73,3.4,2.38,23,12,"F",0.96,40.02,52,5,172.5,2,"Y"
11,"Mike Wozniak",3.08,3.5,3.39,2.81,2.27,2.9,3.75,21,6,"M",0.96,40.02,52,4,185,2,"N"
11,"Lee Mack",3.02,3.1,3.17,2.89,2.73,3.3,3.75,22,7,"M",0.96,40.02,52,3,183,3,"N"
11,"Jamali Maddix",2.74,3.1,2.91,2.59,2.27,2.4,2.38,21,7,"M",0.96,40.02,52,2,185,0,"N"
11,"Charlotte Ritchie",2.5,2.9,2.78,2.26,2.18,2.2,2.38,20,5,"F",0.96,40.02,52,1,167.6,0,"N"
13,"Sophie Duker",3.46,3.1,3.35,3.54,3.5,3.5,4.33,28,13,"F",0.87,42.8,53,5,167,0,"Y"
13,"Chris Ramsey",3.4,2.7,3.35,3.44,3.25,2.8,3.67,23,11,"M",0.87,42.8,53,3,178,2,"N"
13,"Bridget Christie",3.14,3.6,3.72,2.7,3.25,3.3,4.33,25,7,"F",0.87,42.8,53,2,169,2,"N"
13,"Ardal O'Hanlon",3.06,3.8,3.44,2.77,2.25,2.8,3.67,21,10,"M",0.87,42.8,53,1,175,3,"N"
13,"Judi Love",2.84,2.6,2.93,2.77,3,2.3,4.33,24,10,"F",0.87,42.8,53,4,167,2,"N"
16,"Sam Campbell",3.22,2.8,3.13,3.3,3.27,3.7,3.83,24,10,"M",0.94,44.6,55,3,171,0,"Y"
16,"Julian Clary",3.1,3.5,3.35,2.89,3.55,3.4,3.83,19,9,"M",0.94,44.6,55,1,189,0,"N"
16,"Susan Wokoma",2.78,2.8,3.22,2.41,2.82,2.7,2.83,19,6,"F",0.94,44.6,55,5,163,0,"N"
16,"Sue Perkins",2.74,3.6,3.65,1.96,1.64,2.7,2.83,20,6,"F",0.94,44.6,55,4,166,0,"N"
16,"Lucy Beaumont",2.58,2.7,2.61,2.56,2.27,3,3.83,20,7,"F",0.94,44.6,55,2,154.9,1,"N"
